Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status
2021-11-16,6:00 PM,7:00 PM,Buffalo Sabres,2,Pittsburgh Penguins,1,Regulation
2021-11-16,7:00 PM,8:00 PM,Arizona Coyotes,3,St. Louis Blues,2,Regulation
2021-11-16,7:00 PM,8:00 PM,San Jose Sharks,4,Minnesota Wild,1,Regulation
2021-11-16,7:00 PM,8:00 PM,Edmonton Oilers,2,Winnipeg Jets,5,Regulation
2021-11-16,7:30 PM,8:30 PM,Detroit Red Wings,2,Dallas Stars,5,Regulation
2021-11-16,9:00 PM,10:00 PM,Carolina Hurricanes,4,Vegas Golden Knights,2,Regulation
2021-11-16,9:00 PM,10:00 PM,Washington Capitals,2,Anaheim Ducks,3,OT
2021-11-17,8:00 PM,9:00 PM,Colorado Avalanche,4,Vancouver Canucks,2,Regulation
2021-11-17,9:00 PM,10:00 PM,Chicago Blackhawks,4,Seattle Kraken,2,Regulation
2021-11-17,9:30 PM,10:30 PM,Washington Capitals,2,Los Angeles Kings,0,Regulation
2021-11-18,6:00 PM,7:00 PM,Calgary Flames,5,Buffalo Sabres,0,Regulation
2021-11-18,6:00 PM,7:00 PM,New York Rangers,1,Toronto Maple Leafs,2,Regulation
2021-11-18,6:00 PM,7:00 PM,Pittsburgh Penguins,6,Montreal Canadiens,0,Regulation
2021-11-18,6:00 PM,7:00 PM,New Jersey Devils,1,Florida Panthers,4,Regulation
2021-11-18,6:00 PM,7:00 PM,Tampa Bay Lightning,4,Philadelphia Flyers,3,SO
2021-11-18,7:00 PM,8:00 PM,San Jose Sharks,1,St. Louis Blues,4,Regulation
2021-11-18,7:00 PM,8:00 PM,Dallas Stars,2,Minnesota Wild,7,Regulation
2021-11-18,8:00 PM,9:00 PM,Winnipeg Jets,1,Edmonton Oilers,2,SO
2021-11-18,8:00 PM,9:00 PM,Columbus Blue Jackets,5,Arizona Coyotes,4,SO
2021-11-18,9:00 PM,10:00 PM,Detroit Red Wings,2,Vegas Golden Knights,5,Regulation
2021-11-18,9:00 PM,10:00 PM,Carolina Hurricanes,2,Anaheim Ducks,1,Regulation
2021-11-19,9:00 PM,10:00 PM,Winnipeg Jets,2,Vancouver Canucks,3,Regulation
2021-11-19,9:00 PM,10:00 PM,Colorado Avalanche,7,Seattle Kraken,3,Regulation
2021-11-20,3:00 PM,4:00 PM,New Jersey Devils,5,Tampa Bay Lightning,3,Regulation
2021-11-20,3:00 PM,4:00 PM,Carolina Hurricanes,5,Los Angeles Kings,4,Regulation
2021-11-20,5:00 PM,6:00 PM,Minnesota Wild,4,Florida Panthers,5,Regulation
2021-11-20,6:00 PM,7:00 PM,Pittsburgh Penguins,2,Toronto Maple Leafs,0,Regulation
2021-11-20,6:00 PM,7:00 PM,Nashville Predators,3,Montreal Canadiens,6,Regulation
2021-11-20,6:00 PM,7:00 PM,Calgary Flames,5,New York Islanders,2,Regulation
2021-11-20,6:00 PM,7:00 PM,Boston Bruins,5,Philadelphia Flyers,2,Regulation
2021-11-20,7:00 PM,8:00 PM,St. Louis Blues,1,Dallas Stars,4,Regulation
2021-11-20,7:00 PM,8:00 PM,Detroit Red Wings,1,Arizona Coyotes,2,OT
2021-11-20,9:00 PM,10:00 PM,Chicago Blackhawks,2,Edmonton Oilers,5,Regulation
2021-11-20,9:00 PM,10:00 PM,Columbus Blue Jackets,2,Vegas Golden Knights,3,Regulation
2021-11-20,9:30 PM,10:30 PM,Washington Capitals,4,San Jose Sharks,0,Regulation
2021-11-21,4:00 PM,5:00 PM,Minnesota Wild,4,Tampa Bay Lightning,5,SO
2021-11-21,5:00 PM,6:00 PM,Buffalo Sabres,4,New York Rangers,5,Regulation
2021-11-21,6:00 PM,7:00 PM,Calgary Flames,4,Boston Bruins,0,Regulation
2021-11-21,6:30 PM,7:30 PM,Toronto Maple Leafs,3,New York Islanders,0,Regulation
2021-11-21,7:00 PM,8:00 PM,Chicago Blackhawks,1,Vancouver Canucks,0,Regulation
2021-11-21,8:00 PM,9:00 PM,Washington Capitals,2,Seattle Kraken,5,Regulation
2021-11-21,9:00 PM,10:00 PM,Arizona Coyotes,2,Los Angeles Kings,1,OT
2021-11-22,6:00 PM,7:00 PM,Columbus Blue Jackets,7,Buffalo Sabres,4,Regulation
2021-11-22,7:00 PM,8:00 PM,Vegas Golden Knights,2,St. Louis Blues,5,Regulation
2021-11-22,7:00 PM,8:00 PM,Anaheim Ducks,2,Nashville Predators,3,Regulation
2021-11-22,7:30 PM,8:30 PM,Pittsburgh Penguins,3,Winnipeg Jets,1,Regulation
